t,JAK1_gp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.511273596623759,0.00231004677327668,0.00199645638691004,0.0135122907923536
15,NaN,0.0413212845165924,0.0167940073917104,0.0371755237797253
20,0.218020787121744,NaN,NaN,NaN
30,NaN,0.0703412306257802,0.0472747545455106,0.436314111212911
40,0.437790621805755,NaN,NaN,NaN
45,NaN,0.0549453924353741,0.0524036510153072,0.542738851320746
60,NaN,0.0149203942500935,0.0236613564976989,NaN
65,0.244088595487075,NaN,NaN,0.29756836823315
80,NaN,0.0093819641214811,0.00959839645777399,NaN
85,NaN,NaN,NaN,0.0982876341553097
90,0.574987270483637,NaN,NaN,NaN
100,0.499809530975049,0.00202638031594433,0.0018341289826107,0.0586447128339912
150,0.524782467658412,0.00144259877429657,0.00146801176517879,0.0226295441822772
200,0.48262721920697,0.00136258832674726,NaN,NaN
250,0.507777885532201,NaN,NaN,NaN
300,0.52904513428475,NaN,NaN,NaN
350,0.557855858869545,NaN,NaN,NaN
450,0.49920155661865,NaN,NaN,NaN
