t,pEGFR_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs
0,7284.85288341731,0.039946065479107,0,225.726505282231,0
40,6194980.34073599,NaN,NaN,NaN,NaN
85,5479714.84502949,NaN,NaN,NaN,NaN
100,NaN,NaN,NaN,239.208741346037,NaN
150,4288157.59292989,NaN,NaN,NaN,NaN
200,1253513.14923504,NaN,NaN,NaN,NaN
250,NaN,NaN,0.0172395360269201,395.34058414868,NaN
300,341841.598960142,NaN,NaN,NaN,NaN
350,140647.24369975,NaN,NaN,228.277797143317,NaN
400,112431.309366603,0.0153019801724641,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN,0.0090220587173275
500,27677.1530924554,NaN,NaN,245.951103003263,NaN
550,NaN,NaN,0.00137724486867028,NaN,NaN
600,24043.9543577722,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,299.453407569239,NaN
750,20126.6597976084,0.0289740438296514,NaN,NaN,NaN
850,NaN,NaN,0.000254454933339364,360.037129162075,NaN
950,NaN,NaN,NaN,NaN,0.0061552870482427
1000,NaN,0.0182961340813943,0.000324370012663376,230.213290761529,NaN
1500,NaN,0.022294899805017,0.00021590235901687,161.774398255265,0.00606143697032302
2000,NaN,0.0322208933765397,0.000188272197901153,NaN,0.00344757033894774
2500,NaN,NaN,0.000151971788953024,NaN,0.00379719437641416
3000,NaN,0.0383136604296695,0.000235601465002754,NaN,NaN
3500,NaN,0.0249544561857209,NaN,NaN,0.00245097884236478
4000,NaN,NaN,NaN,NaN,0.00228423814017075
4500,NaN,0.0349527993227262,NaN,NaN,NaN
5000,NaN,NaN,NaN,NaN,0.000703173996759575
5500,NaN,0.0226924730268389,NaN,NaN,NaN
6000,NaN,NaN,NaN,NaN,0.000780664707761251
7500,NaN,NaN,NaN,NaN,0.000529885262609819
8500,NaN,NaN,NaN,NaN,0.000625284719980932
