t,pEGFR_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs
0,1051.35234749525,0.0312664629061588,0,210.405370694195,0
55,NaN,NaN,NaN,248.447600280371,NaN
100,NaN,NaN,NaN,283.056129497907,NaN
150,453112.548820604,NaN,NaN,NaN,NaN
200,NaN,NaN,NaN,257.826792138417,NaN
250,NaN,NaN,NaN,165.176564427934,NaN
300,311129.656371713,NaN,NaN,NaN,NaN
350,NaN,NaN,NaN,249.121010073698,NaN
400,NaN,NaN,NaN,218.712913576973,NaN
500,309807.666793078,0.022525594767232,0.00779642800552235,NaN,0.00209091049270051
550,NaN,NaN,NaN,236.484473318259,NaN
650,186257.446559329,NaN,NaN,NaN,NaN
900,94637.9921654961,NaN,NaN,NaN,NaN
1000,91103.3128998674,0.0256555699960489,0.00227823982707158,NaN,0.00562296874450169
1500,45344.6738109421,0.0305272965062116,0.000690175438426338,NaN,0.00389153119486424
2000,NaN,0.0317663150541618,0.000479352497649349,NaN,0.00340261588569049
2500,NaN,NaN,NaN,NaN,0.00336961656230287
3000,NaN,0.0191051485607144,0.000182109878585981,NaN,NaN
3500,NaN,0.029571130766068,0.000144658197530326,NaN,0.00178935921041173
4000,NaN,NaN,NaN,NaN,0.00111218039379989
4500,NaN,0.027908568587263,6.9114981856106e-05,NaN,NaN
5000,NaN,NaN,NaN,NaN,0.00147296958545184
5500,NaN,0.0262577583699625,NaN,NaN,NaN
6000,NaN,NaN,4.53169171571773e-05,NaN,0.000913307555249222
6500,NaN,0.0253666984380557,NaN,NaN,NaN
7500,NaN,NaN,4.46931278412015e-05,NaN,0.000495094608470848
8000,NaN,0.0300453649015633,NaN,NaN,NaN
8500,NaN,NaN,NaN,NaN,0.000399290684848897
