t,pEGFR_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs
0,858.751323336208,0.0246920779954836,0,321.207592452229,0
75,NaN,NaN,NaN,208.00540127482,NaN
100,914505.930773881,NaN,NaN,NaN,NaN
150,NaN,NaN,NaN,221.112783860982,NaN
250,793218.348036077,NaN,NaN,352.088602591545,NaN
350,678652.069666343,NaN,0.00750573081943535,220.123243263011,NaN
450,NaN,NaN,NaN,337.129066586482,0.00727026426940569
500,493999.373773325,0.0203707648916267,NaN,NaN,NaN
550,NaN,NaN,NaN,195.887327272218,NaN
700,257171.766316391,NaN,0.00365909259678999,159.714967962451,NaN
850,NaN,NaN,NaN,308.998674787936,NaN
900,149932.876784055,NaN,NaN,NaN,0.00861141827910054
950,NaN,0.0385252757360616,NaN,NaN,NaN
1000,65265.7053436644,NaN,0.00160555666196853,262.051359450408,NaN
1500,NaN,0.0357401374586055,0.000900421407608282,166.869204793871,0.00671096270885079
2000,NaN,0.0226452045538863,0.000607109160647534,NaN,0.00424489023762233
2500,NaN,0.0186648325865285,0.000220936405067797,NaN,0.00351440403512149
3000,NaN,NaN,0.00023085612254291,NaN,0.00149251701892413
3500,NaN,0.0256418528531389,0.000211536063996929,NaN,NaN
4000,NaN,0.032134933755257,NaN,NaN,0.00190364030054134
4500,NaN,NaN,0.00014984154203595,NaN,NaN
5000,NaN,0.0370078698945901,NaN,NaN,0.00162600546774232
5500,NaN,NaN,6.55369151420468e-05,NaN,NaN
6000,NaN,0.0205355390353919,NaN,NaN,0.00113932642457207
7000,NaN,0.0271543468686184,NaN,NaN,0.000609528117311557
8500,NaN,0.0301062566266639,NaN,NaN,0.000483778397881155
