t,pEGFR_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs
0,11524.3502252793,0.0306998922960021,0,307.993996721356,0
55,6926244.03071383,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,248.515923089765,NaN
100,4014688.83300893,NaN,NaN,NaN,NaN
150,2100868.97198731,NaN,NaN,247.762009471666,NaN
250,778786.837091805,NaN,0.00967905460834505,251.309371014665,NaN
300,608615.348399707,NaN,NaN,NaN,NaN
350,NaN,NaN,NaN,318.325809131537,NaN
400,270937.967609206,0.0222327102663979,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN,0.00635289490650135
500,48044.2410808236,NaN,0.0042751666803217,219.999277723409,NaN
600,18219.6349520436,NaN,NaN,254.646626582913,NaN
750,17543.5974031505,NaN,0.000476394673741714,270.92831703476,NaN
850,NaN,0.0157394966827966,NaN,NaN,NaN
900,19244.0413154752,NaN,NaN,262.131127239201,NaN
950,NaN,NaN,NaN,NaN,0.00505041312991534
1000,NaN,NaN,0.000345340353615485,239.393788108347,NaN
1500,NaN,0.0269246369880536,0.000204854249482046,178.948012649247,0.00512987995988757
2000,NaN,0.0251472444997786,0.000201718325608696,NaN,0.00397838007116419
2500,NaN,0.0290732986105298,0.00016367783828411,NaN,0.00527533963283799
3000,NaN,0.0334479679225287,NaN,NaN,0.0032145855335839
4000,NaN,0.0268794038701984,NaN,NaN,0.00180227185694893
4500,NaN,0.0296573422662734,NaN,NaN,NaN
5000,NaN,NaN,NaN,NaN,0.00144193572003715
5500,NaN,0.024123651655005,NaN,NaN,NaN
6000,NaN,NaN,NaN,NaN,0.00134316845698995
7000,NaN,0.0246784137490125,NaN,NaN,0.000648959240536673
8500,NaN,NaN,NaN,NaN,0.00068744679450898
