t,pEGFR_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs
0,105.150878830619,0.0304363624204766,0,320.065601311846,0
50,NaN,NaN,NaN,318.186179017306,NaN
100,NaN,NaN,NaN,214.683253357023,NaN
150,NaN,NaN,NaN,275.373561472903,NaN
250,NaN,NaN,NaN,264.1332239662,NaN
300,NaN,NaN,NaN,211.239178563833,NaN
350,118526.277421365,NaN,NaN,NaN,NaN
400,NaN,NaN,NaN,251.624387941768,NaN
500,NaN,0.0311168907310979,0.00238536494499305,315.115492284896,NaN
550,NaN,NaN,NaN,NaN,0.00143680252672051
750,63062.2715653218,NaN,NaN,NaN,NaN
1000,76162.8906111262,0.0385519488205748,0.00126974090681141,NaN,0.00150368291957356
1500,24167.5918492331,0.0451641507292423,0.000547439785533396,NaN,0.00180403675181691
2000,12822.1460407819,0.0503832472791488,0.000231025704694492,NaN,NaN
2500,7409.88814982692,0.02408524277066,0.000160788859295805,NaN,0.00185505179521588
3000,NaN,NaN,NaN,NaN,0.00126189089409008
3500,1986.59669257076,0.0269541607315841,9.84953508783329e-05,NaN,NaN
4000,1269.23522726611,0.035319799258967,NaN,NaN,0.00102764139625329
4500,NaN,NaN,3.07683179747301e-05,NaN,NaN
5000,450.530571843098,0.035184790524444,NaN,NaN,0.000550552970481817
5500,NaN,NaN,3.78914440005886e-05,NaN,NaN
6000,592.695891025178,0.0417899287638514,NaN,NaN,0.000460192893900298
6500,NaN,NaN,3.4434246208841e-05,NaN,NaN
7000,NaN,NaN,NaN,NaN,0.00044539850869671
7500,NaN,0.0358084465521206,NaN,NaN,NaN
8000,NaN,NaN,1.77779537696158e-05,NaN,NaN
8500,NaN,0.0413552054814877,NaN,NaN,0.000210274136225172
