t,pEGFR_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs
0,594.799781533142,0.024995847476052,0,267.990566611432,0
45,NaN,NaN,NaN,268.691401507405,NaN
50,2484667.64074722,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,163.555374720862,NaN
100,3248341.19289534,NaN,NaN,NaN,NaN
150,4149455.87017387,NaN,NaN,409.193943305621,NaN
200,1697377.62617076,NaN,NaN,212.182907361017,NaN
250,NaN,NaN,NaN,176.300992375826,NaN
300,941219.558571863,NaN,NaN,241.884383376966,NaN
350,753661.284928867,NaN,0.0141799785224824,NaN,NaN
400,NaN,NaN,NaN,376.669195507846,NaN
450,473759.642698134,0.0100387412358879,NaN,NaN,NaN
500,320473.469416993,NaN,NaN,323.779090114981,0.00641189257935225
600,217982.811336423,NaN,NaN,354.291207680068,NaN
700,NaN,NaN,0.00178911406094904,313.299189282064,NaN
750,81874.2006618998,NaN,NaN,NaN,NaN
900,17728.8612646575,NaN,NaN,NaN,NaN
950,NaN,0.0232808552925899,NaN,NaN,NaN
1000,11939.3344606327,NaN,0.000631157111216712,NaN,0.00675698325875338
1500,NaN,0.0304748756976724,0.0003458130181754,NaN,0.00592794599304547
2000,NaN,0.054155330070509,0.000319334123730818,NaN,0.00309694891931778
2500,NaN,0.0333251915262752,0.00016303808605785,NaN,NaN
3000,NaN,NaN,0.000145911903884839,NaN,0.00355639224174221
3500,NaN,0.0413196299572384,0.000120884537081238,NaN,0.00358853052006739
4000,NaN,0.0242527057758844,NaN,NaN,NaN
4500,NaN,NaN,0.00010764044686198,NaN,0.00183408733596085
5000,NaN,0.0339704742079447,NaN,NaN,NaN
6000,NaN,0.0401807467654473,NaN,NaN,0.00182634490582184
7000,NaN,NaN,NaN,NaN,0.000963823075177744
7500,NaN,0.014045216099617,NaN,NaN,NaN
8500,NaN,NaN,NaN,NaN,0.000533359579877597
