t,Z_state_Obs,Y_state_Obs,A_state_Obs
0,0.173323549330551,0.848095457799605,1.31001894379389
1.5,NaN,5.57018300172481,5.29886948870258
3,NaN,9.08043506138315,7.14944760628825
3.5,1.19360776833376,NaN,NaN
4.5,NaN,3.03490477450624,NaN
5,NaN,NaN,3.69682805505237
6.5,NaN,7.76468748647248,NaN
7,0.132644362591444,NaN,8.74175799511714
9,NaN,3.29497554883879,NaN
9.5,NaN,NaN,5.65445819837898
10,0.0649560982227663,7.02350337367963,NaN
15,0.116631674910039,9.79136606850536,6.18349993611483
20,0.111949455715128,NaN,NaN
