t,input_il6,nSOCS3RNA2_Obs
700,0.1,0.000136667010153771
700,0.1,0.000173492629368234
700,0.5,0.000299776629309123
700,0.5,0.000374781123238612
700,1,0.000560242550462452
700,1,0.000604614654549437
700,2.5,0.00265280068848915
700,2.5,0.00269594422395038
700,5,0.0087795660080769
700,5,0.00910819350897338
700,10,0.0148522697807072
700,10,0.0187584332163203
700,25,0.0367731889207635
700,25,0.0432393898101735
700,50,0.0503158873876837
700,50,0.0520549236700457
700,100,0.0729161331738858
700,100,0.0859676548003222
700,500,0.0904045498092895
700,500,0.115006035040515
