t,pJAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,Compound_1_Obs
0,0.00103621540635732,17.9967513075628,0.597899638273698,0.00572178987909328,0.00541177841538004,0.0057566288288859,0.332636892303332
8.5,NaN,NaN,6.04697151978142,NaN,NaN,NaN,NaN
10,NaN,11.9628862242149,NaN,1.79349952326117,0.906351471480059,0.17276629702764,1.4839258594303
15,0.0232304703330013,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,0.88490492408154,0.642981537981467,1.26087937567071,NaN,26.3924999415195
25,0.00158770221405554,17.8780675042006,0.301872769711252,NaN,NaN,1.00075636153684,NaN
30,NaN,NaN,NaN,0.0117282599705731,0.0511180937363036,NaN,10.0276482381069
35,NaN,13.2356110092645,NaN,NaN,NaN,0.0511527640871835,NaN
40,NaN,NaN,0.240191669250993,NaN,NaN,NaN,NaN
45,0.00336659966632039,NaN,NaN,0.00235800847884728,0.00156949633469644,NaN,0.247483099094741
50,NaN,NaN,1.38320507920602,NaN,NaN,0.00302978791820304,NaN
55,NaN,15.237137721547,NaN,NaN,0.0361948563886214,NaN,0.109358897820434
60,0.00561104679934807,NaN,NaN,0.0973606645982705,NaN,NaN,NaN
65,NaN,NaN,1.92368786134589,NaN,NaN,0.083220329373077,NaN
70,NaN,17.3106019581632,NaN,NaN,0.131883579722757,NaN,1.41940976301853
75,NaN,NaN,NaN,0.089944854757616,NaN,NaN,NaN
80,0.005240713512225,NaN,1.24950095072345,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,0.0979289992392477,NaN
90,NaN,18.4707982772137,NaN,0.0887583932458286,0.0956993442331979,NaN,1.01358659531907
100,0.00815007169410703,17.4442448373171,2.27431197200779,0.136124503051978,0.128586988723511,0.140398965035822,1.17258685730435
150,0.00811215212790257,15.6930934311211,1.90048513767311,0.111477914012837,0.0888894977228286,0.147185877447864,1.57897142258348
