t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
0,0.000916070314075872,14.1949467532218,0.00502931954587424
10,0.00862993843830209,12.3222216810428,0.0286003363189969
20,NaN,NaN,0.177644701666011
25,0.00517908633701141,14.7525349923595,NaN
30,NaN,NaN,0.123668597512261
35,0.00453255586645694,13.3361478294141,NaN
45,NaN,NaN,0.037465175635625
50,0.00300951572503092,18.0560326106047,NaN
60,NaN,NaN,0.0613419859693238
65,0.00352132750925842,19.5665206668436,NaN
75,NaN,NaN,0.0421357033966071
80,0.00254033890162763,NaN,NaN
85,NaN,13.8234006063402,NaN
90,NaN,NaN,0.0472891479788412
100,0.00305049856939753,13.3149925482964,0.0466430466144126
150,0.00389702680609198,16.1114814568813,0.0397992952241907
200,0.0023584753435651,19.7129176499967,NaN
