t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
0,0.000927253338136981,21.307352126194,0.00383221956549702
5,NaN,NaN,0.00264204558129067
10,NaN,NaN,0.000426947620721146
15,NaN,NaN,6.86260493985852e-05
20,0.0298184249481924,6.19981600030513,6.61725338313951e-06
25,NaN,NaN,2.39360342479155e-06
35,0.0192158478908849,NaN,9.38679195878849e-07
40,NaN,7.66972764797007,NaN
45,NaN,NaN,8.40298008885393e-07
55,NaN,NaN,1.08478302611079e-06
60,0.0290881797136837,9.53154784450778,NaN
65,NaN,NaN,1.14142826565117e-06
80,0.0164583955928251,10.7795684862811,1.00512721070022e-06
100,0.0163748939536002,9.10996726735216,NaN
150,0.0104347798421756,11.4182595253567,NaN
200,0.00931627596011465,16.4932930604324,NaN
250,NaN,12.9319334003817,NaN
300,0.00383241384981891,17.0057812452237,NaN
350,NaN,12.448288232304,NaN
450,NaN,17.424544767668,NaN
