t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
0,0.000937058480406114,15.4491106618096,0.00489586571817889
10,0.0369076282667538,11.3028268748006,NaN
15,NaN,NaN,2.66209750219324
20,NaN,14.849151893688,NaN
25,0.00159773448822409,NaN,NaN
30,NaN,17.8902210449901,0.0543143213542265
35,0.00173011414285672,NaN,NaN
45,NaN,18.2934367426071,0.00150380407600864
50,0.00384554748866879,NaN,NaN
55,NaN,15.7757076857558,NaN
60,NaN,NaN,0.0669759037991997
70,0.00594810974671491,15.0151789935049,NaN
80,NaN,NaN,0.0826352574695274
85,0.00681618485773683,NaN,NaN
90,NaN,16.3370080581783,NaN
100,0.00682648879127415,14.7403194078473,0.122595578773181
150,0.000338299069698302,18.584353821288,0.00420877408096747
200,NaN,NaN,0.00157051155511279
250,NaN,NaN,0.00204594666348743
