t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
0,0.000996064541213996,16.1706620988589,0.0060743689031733
9,NaN,11.2704737159969,NaN
10,0.0333273650224859,NaN,NaN
15,NaN,NaN,2.3813030911182
20,NaN,16.4609096235446,NaN
25,0.000123919955164512,NaN,0.246108065220332
30,NaN,16.8664845733778,NaN
40,7.88677791768513e-05,16.4766863699256,0.0017887172061041
55,0.000184727643851802,15.4937909208976,0.000833827853305502
70,0.000301985291878333,17.9539138941752,NaN
75,NaN,NaN,0.00123837418850853
85,0.000433144510404768,NaN,NaN
90,NaN,14.1948029238338,NaN
95,NaN,NaN,0.0009167219374399
100,0.000316493588774572,18.781847244761,0.00105703779230707
150,0.000674104068865345,NaN,0.00194367780639338
