t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
0,0.000874576485810848,20.1658558101217,0.00642693592580906
8.5,NaN,15.4799312935102,NaN
10,0.0376773781986815,NaN,0.954216741362904
15,NaN,14.5850340645372,NaN
25,0.000996129793520296,17.9761955162168,0.250884873562732
35,4.93987954085129e-05,17.6095902405702,NaN
40,NaN,NaN,0.00168034145581332
50,0.000139663446946282,23.1217292936885,NaN
55,NaN,NaN,0.000914955142192025
60,NaN,18.6093306191773,NaN
65,0.000222500703683797,NaN,NaN
70,NaN,NaN,0.00140283996779592
80,NaN,15.6540829145758,NaN
85,0.000317159967416247,NaN,NaN
90,NaN,NaN,0.00139394042627864
95,NaN,24.3730230617035,NaN
100,0.000356968524728799,21.9743127612824,0.00149289798716619
150,0.000531591524157796,NaN,0.00177009496300096
