t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
0,0.000888537607952035,13.8456436407814,0.00605605253743946
7.5,NaN,12.9031714693172,NaN
10,0.040287601543275,NaN,1.45336626704161
15,NaN,12.0731191835186,NaN
20,NaN,NaN,1.63121368295692
25,5.14812023709243e-05,21.263863643546,NaN
35,NaN,15.8595682018265,0.00577265291731705
40,7.13209372618028e-05,NaN,NaN
45,NaN,19.8923926291831,0.00108254952522206
55,0.000174890931555752,18.4797261505718,NaN
60,NaN,NaN,0.000948329761071345
70,NaN,16.595726422217,NaN
75,0.000283322121750196,NaN,NaN
80,NaN,NaN,0.00095493948439178
85,NaN,19.0854518957475,NaN
95,0.000319746032079565,NaN,NaN
100,0.000324072299710226,12.9871170645889,0.0011700294916785
150,0.000711193323240513,NaN,0.00187076318951094
