t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
0,0.00109856290419636,15.2185743400485,0.00527928124359357
10,NaN,8.65161230055759,2.29561161180141
15,0.0232188941462656,NaN,NaN
20,NaN,19.0675577581801,NaN
25,NaN,NaN,0.265872241245716
30,0.00116791254633608,NaN,NaN
35,NaN,21.7869436126599,NaN
40,NaN,NaN,0.000963477144861608
45,NaN,16.8474781284583,NaN
50,0.0061487652779469,NaN,NaN
55,NaN,NaN,0.072641514422925
60,NaN,17.7394262560719,NaN
65,0.00968148942621544,NaN,NaN
70,NaN,NaN,0.169673965697158
80,NaN,15.9104306237422,NaN
90,0.00734121121961072,NaN,0.114409247977582
100,0.00021498172880939,14.3948706861452,0.122878513706083
150,0.000411075630383295,18.2491176266449,0.00162136392978133
200,NaN,NaN,0.0017849219204057
