t,input_il6,pJAK1_gp130_Obs
31,0.1,0.00100515976522781
31,0.1,0.00108605313519915
31,0.1,0.00123219978441015
31,0.1,0.00134568206922636
31,1,0.0019708247873241
31,1,0.00213673245247961
31,1,0.00234790440882401
31,1,0.00276715407565148
31,5,0.00425838522184662
31,5,0.00490776028954791
31,5,0.00496475818852199
31,5,0.00531915448660726
31,10,0.00388475870935044
31,10,0.00435073844152865
31,10,0.00489732101716621
31,10,0.00496159027617839
31,50,0.0010071933731833
31,50,0.00117093024957009
31,50,0.00134311230257888
31,50,0.001387571081938
31,100,0.00114727067963615
31,100,0.00132839514559169
31,100,0.00134992780692523
31,100,0.00136902244105172
31,500,0.00226434231593722
31,500,0.00242031399355117
31,500,0.00269573773479023
31,500,0.00281115637730318
