t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
0,0.00092978893443869,13.5811551670944,0.00593256043284803
9.5,NaN,12.0819002732755,NaN
10,NaN,NaN,0.904801968202061
15,0.000905583268082262,NaN,NaN
20,NaN,21.6079154418865,0.744143714633851
25,9.99188784871561e-05,NaN,NaN
30,NaN,20.8980519287309,NaN
35,NaN,NaN,0.00388660850639006
40,9.29534042837558e-05,21.7002676602488,NaN
45,NaN,NaN,0.00103198835944905
55,0.000164073433677137,19.9068108250512,NaN
60,NaN,NaN,0.000951485635373717
70,NaN,14.0317867708519,NaN
75,0.000306182301103222,NaN,0.00114881105418833
90,NaN,16.5373315399162,NaN
95,NaN,NaN,0.00157394816854585
100,0.000326892646908266,17.133534048416,0.0010523652828382
150,0.000559118948717412,20.5268076099478,0.00197150025638949
