t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
0,0.000789984466123292,16.1708556505511,0.00669819084275713
8.5,NaN,NaN,0.105622750846102
9.5,NaN,12.1100809237875,NaN
10,0.023635475364443,NaN,NaN
20,NaN,18.421933388495,1.15629251436188
25,0.00522382065131474,NaN,0.272850330154392
30,NaN,20.1893646354997,NaN
35,0.00173588969162401,NaN,NaN
40,NaN,16.7062997704835,0.00291601918951792
50,0.00335516097382308,NaN,0.0127281954374437
55,NaN,17.2370682994292,NaN
65,0.00438559590093889,NaN,0.0812898739477822
70,NaN,22.1047135620968,NaN
80,NaN,NaN,0.0682310504987172
85,0.00537710624219419,18.413387926163,NaN
100,0.00425030802112642,14.6534219914742,0.0782346672655699
150,NaN,14.17664736795,NaN
