t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
0,0.00090894040570775,18.3137586112178,0.00574218473919892
10,0.00848671659186238,NaN,2.40040544402461
15,NaN,14.7501079527369,NaN
25,2.29078162282568e-05,NaN,0.215304920662301
30,NaN,18.1582178981201,NaN
35,NaN,NaN,0.00332989824425078
40,6.70835815993901e-05,NaN,NaN
45,NaN,16.6665146352107,NaN
50,NaN,NaN,0.00118420750970055
55,0.000155066779247168,NaN,NaN
65,NaN,14.3343652170798,0.00101091516572783
75,0.000324069785107329,NaN,NaN
80,NaN,NaN,0.00103874994899276
85,NaN,14.7511429629107,NaN
95,0.000368186599442603,NaN,NaN
100,0.000429934802390265,17.3991555241554,0.00124215015879616
150,0.000587408376402384,20.4694267116162,0.00250101008256755
200,NaN,18.5871792764178,NaN
250,NaN,24.1058813144309,NaN
300,NaN,19.9313184826744,NaN
