t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
0,0.000952027262249064,20.8833333263189,0.00390956117761821
4,NaN,NaN,0.0033362822917971
8.5,NaN,NaN,0.000780702632629311
15,0.0372076717018798,NaN,6.51355820569684e-05
20,NaN,7.24468328005487,7.26750303120634e-06
25,NaN,NaN,1.56963740647842e-06
30,NaN,NaN,9.49092730791339e-07
35,0.0227791621806854,NaN,7.90794334354451e-07
40,NaN,8.29947662920221,NaN
45,NaN,NaN,1.04836069289129e-06
50,0.0202160351942083,NaN,NaN
55,NaN,NaN,8.91045612386275e-07
65,NaN,8.68346817668841,1.10519398830551e-06
70,0.0236707800994184,NaN,NaN
90,0.0208678456724327,11.5063571156952,NaN
100,0.0167164900282719,9.60553047321721,NaN
150,0.00867161054857504,13.2210069372864,NaN
200,0.00829624387033112,13.6004784863211,NaN
250,0.0059918385991545,14.1644054715927,NaN
300,0.00510192934673905,13.6595407958028,NaN
350,NaN,15.7996931469661,NaN
450,NaN,23.0275119682061,NaN
