t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
0,0.000739979408032662,18.7668624955991,0.00595701965794227
9.5,NaN,8.33249739976685,NaN
10,0.044322931106116,NaN,NaN
20,0.0285625837422714,8.04550773137683,NaN
25,NaN,NaN,0.000961526905787066
30,NaN,8.59164855812105,NaN
35,0.0239944783604537,NaN,NaN
40,NaN,14.0313988472518,NaN
45,0.000573605418698634,NaN,NaN
50,NaN,NaN,0.261176392594049
55,NaN,15.5657261223507,NaN
65,0.00383258090404605,NaN,NaN
70,NaN,16.7212039032466,NaN
75,NaN,NaN,0.0126701675852817
80,0.00616215457080885,NaN,NaN
90,NaN,19.5278432676214,NaN
100,0.00735598042532091,15.9351283358391,0.0931518121741693
150,0.00796368353031691,NaN,0.116253907157491
200,NaN,NaN,0.127888667129668
250,NaN,NaN,0.0946639406798206
300,NaN,NaN,0.138389538187016
350,NaN,NaN,0.0944327141219252
450,NaN,NaN,0.117665336924119
