t,input_il6,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
0,2.5,0.00122312160349811,17.5581105630684,0.00418363958231231
0,2.5,0.000848319627077041,16.480979316615,0.00496692752975282
0,2.5,0.000983895086147448,18.2214206948329,0.00444518680459816
0,2.5,0.00119190650827521,12.135271291903,0.00363622285240217
0,2.5,0.000903629138215099,19.3185822199604,0.00450773195279776
0,10,0.0010626971300962,14.6603433938087,0.00468133324230244
0,10,0.000747655174594731,17.3543362617889,0.00466582162880076
0,10,0.000996883191793121,17.1651577906522,0.00454643848654157
0,10,0.000967535650316257,23.6419972161027,0.00492648741486081
0,10,0.00081421948952203,15.8807229580841,0.00475146665236951
0,60,0.000854609658673846,14.5769859607329,0.0035053659068583
0,60,0.000695873652173823,13.5211707185994,0.00379358940936895
0,60,0.00111796947464133,15.1050816561243,0.00421795358025749
0,60,0.00102878355533132,14.163550410832,0.00514114114007346
0,60,0.00091794326674039,17.2450793430452,0.00427857712020206
0,120,0.0010101271949708,16.7542674128313,0.00428757131340321
0,120,0.00103339731464674,21.1073678694425,0.00443490601534018
0,120,0.00127464873656752,18.0148733015438,0.0051484897892161
0,120,0.0010431766276834,15.8617378742605,0.00510241982041435
0,120,0.00110146319971965,14.9825904386478,0.00397948316674434
