t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
0,0.000956074420550365,14.3650269536466,0.00534466634986826
9,NaN,12.8284394012908,NaN
10,0.0304946011558703,NaN,0.479016289409548
20,NaN,18.4891915604936,NaN
25,0.00253836191319313,NaN,0.344184257293181
30,NaN,15.4214833914508,NaN
40,0.00222034626410537,15.9086497136664,0.000922970213489134
55,0.000176147435030601,18.1556399366982,0.00344170742509929
70,0.000182502058394925,13.9416618708269,0.00063674900020415
90,0.000387049938959231,14.7189768645063,0.00025560944776467
100,0.00038424174160388,20.5517850474539,0.000396793675003954
150,0.000654542180879527,NaN,0.000930747582500405
