t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
0,0.00100980787200828,15.5003086333488,0.00653240799264279
10,NaN,NaN,0.726878510874358
15,0.000836042878405656,NaN,NaN
20,NaN,20.7161313968439,0.559566078707412
25,0.000117590830191567,NaN,NaN
35,NaN,NaN,0.00292393744723213
40,NaN,24.8493014762214,NaN
45,0.000147431095627669,NaN,0.00115195614511549
60,0.00024085403109056,16.895641965184,0.0012792424672445
80,0.000265082373671687,NaN,0.0012983882827752
85,NaN,17.8996491339122,NaN
100,0.000510051502994085,16.0688277145084,0.00127744837601557
150,0.000589254674784172,14.5735323021793,0.00177891689992743
200,NaN,17.0320757364359,NaN
250,NaN,20.2644957461392,NaN
350,NaN,13.980755627339,NaN
