t,tpSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,Compound_1_Obs
0,0.658290166070948,0.00551695433561899,0.00450785721069237,0.415972945077075
9.5,NaN,0.00467331052580102,NaN,NaN
10,0.590550865639757,NaN,0.00495007335494369,0.378791692298425
20,0.66235696886372,0.00597927902091865,0.00409744404909587,0.360570294389673
30,NaN,0.00486731144421096,0.00454923663861013,NaN
35,0.641409295939029,NaN,NaN,0.355321863092445
40,NaN,0.00435568984952442,NaN,NaN
45,NaN,NaN,0.00407808333455497,NaN
50,0.704053240471894,NaN,NaN,0.382757351645615
55,NaN,0.00489570033176706,NaN,NaN
60,NaN,NaN,0.00466120967799141,NaN
65,0.664060637731436,NaN,NaN,0.438864393124014
70,NaN,0.00388962740723594,NaN,NaN
75,NaN,NaN,0.00369118434797526,NaN
80,0.55452227245364,NaN,NaN,0.340309640941577
85,NaN,0.00449394594388781,NaN,NaN
95,NaN,NaN,0.00465896837213231,NaN
100,0.697694668832026,0.00460838736499933,0.00560412190704215,0.322585310402213
150,0.71282768394485,0.00477785914954416,0.0051214370424089,0.318625349099038
