t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
0,0.00103592492763141,16.5861091197552,0.00565013942548248
10,NaN,NaN,4.25183793481473
15,0.00146637181477898,11.643781395127,NaN
20,NaN,NaN,1.4246864703618
30,9.52665409082977e-06,NaN,0.0369392215164305
35,NaN,20.2599600074217,NaN
45,9.45043074449165e-05,NaN,0.000997690599454375
50,NaN,14.4876417862539,NaN
60,0.000178247779761779,NaN,0.000892734415550673
70,NaN,20.9497504793386,NaN
75,NaN,NaN,0.00105809547306939
80,0.000239376433087876,NaN,NaN
95,NaN,17.8537745267895,0.000996113989463067
100,0.000432747835088069,14.1991945849277,0.000995414282992886
150,0.000540747391146384,14.3721787755681,0.00167234182972777
200,NaN,16.466722447914,NaN
250,NaN,18.7539487206306,NaN
300,NaN,18.8975751611,NaN
