t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
0,0.00113528215591728,16.4451645979145,0.00524240296726702
7.5,NaN,18.4427931224133,NaN
10,0.0109504557279895,NaN,0.0910787100625715
15,NaN,13.6167779484924,NaN
20,NaN,NaN,0.502665067229044
25,0.00796810317005894,15.7556506223659,NaN
30,NaN,11.7010529979917,NaN
35,NaN,NaN,0.0248357664831001
40,0.00324853563946597,15.7036643406386,NaN
45,NaN,NaN,0.0244554737565171
55,0.00428653440452821,17.5797235985785,NaN
60,NaN,NaN,0.0827595946156216
65,NaN,20.3699692155481,NaN
70,0.00460323860633173,NaN,NaN
80,NaN,15.7037941992658,0.0464213020654301
90,0.00332993978237162,NaN,NaN
100,0.00459931465979865,NaN,0.0807170892798711
150,0.00468052633591176,NaN,NaN
