t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
0,0.000991127331515598,13.1782392544686,0.00377494083063786
10,0.053693431583477,NaN,2.38527867369687
20,NaN,18.3327207533187,NaN
25,2.04722000277066e-05,NaN,0.275358915130591
35,3.35832666117103e-05,NaN,0.00467867819698944
40,NaN,17.2462689901049,NaN
50,0.000122966237550688,NaN,0.000752682846944426
60,NaN,19.4336912192806,NaN
65,0.000235051215404607,NaN,NaN
70,NaN,NaN,0.000834221810760759
85,0.000344258780629558,17.2584938607376,NaN
90,NaN,NaN,0.00123465191815833
100,0.000456890694556478,16.5385615394637,0.0011195592127751
150,0.000613977912781694,15.8031456631344,0.00174986964356731
200,NaN,17.7262508558761,NaN
250,NaN,18.0405813147755,NaN
300,NaN,20.8095395513274,NaN
