t,input_il6,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
8,5,0.00659061002577039,16.0448727287474,0.0115859872696291
8,5,0.00686277028821458,15.0711048561516,0.0109100158991688
8,5,0.00750763317373843,13.0640567993156,0.013125465706445
8,5,0.00788717252689,13.7768469460493,0.0131782999818222
8,20,0.0173881806727746,15.6791705288469,0.0838691065837821
8,20,0.0194462605281961,10.3649306261185,0.100938941982514
8,20,0.0209530619150401,13.4723412337112,0.0740765934236531
8,20,0.0237685844917338,11.9563932363027,0.097017894715669
8,40,0.0292016782145159,12.605616168066,0.299935364037651
8,40,0.0328799933351286,9.91035827393153,0.358475567216699
8,40,0.0358528216456611,11.2947759874942,0.31568195386088
8,40,0.0383075247346003,13.1121099259748,0.303315012247405
8,90,0.0417374944689356,9.74448128623078,0.920663919595574
8,90,0.0523638439121105,10.8891567634486,1.18710902307844
8,90,0.0554990027793877,7.82553426522068,1.07620324300782
8,90,0.0590972506648623,10.0618786146023,1.37917254403868
