t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
0,0.00101563582052282,16.1881843656842,0.00618922189889424
7,NaN,11.9875829115876,NaN
15,0.0204430852733573,13.5603885698486,0.96559399062885
20,NaN,15.0172134659238,NaN
25,NaN,NaN,0.283119294238181
30,0.000102450179519792,18.7101339463039,NaN
40,NaN,15.0915105528249,0.00238445168680629
45,0.000149340677983696,NaN,NaN
50,NaN,19.0808189418336,NaN
55,NaN,NaN,0.00128089402438713
65,0.000269672350771835,22.8431956020346,NaN
75,NaN,17.9912015306538,0.00115708480117175
90,0.000384988701079761,17.0644347716736,NaN
95,NaN,NaN,0.0011919097863529
100,0.000552667823417622,14.9396212450043,0.00161023596572925
150,0.000597659303036539,NaN,0.00185188650893952
