t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
0,0.00110065177805565,19.9037461608507,0.00632405179271548
4,NaN,NaN,0.0154670935231185
8,NaN,NaN,0.999437483309725
10,NaN,8.13264504822721,2.46714164469319
15,0.0204228400791282,NaN,3.63869807976279
20,NaN,13.2001236149886,1.04507308384045
25,0.000496849444869972,NaN,0.263759700962702
30,NaN,15.7618753660487,NaN
35,NaN,NaN,0.0056395975183112
40,0.000393126996406774,NaN,0.00157356677746748
45,NaN,14.8322502226794,NaN
50,NaN,NaN,0.000996761481465098
55,0.000253850248028379,16.5756189244774,NaN
60,NaN,NaN,0.000923990123781242
70,NaN,19.4752019837437,NaN
75,0.000189637618212357,NaN,0.00122270661608723
90,NaN,15.5353077059533,NaN
95,0.000215482063333899,NaN,NaN
100,0.000207198683514762,17.1568793960829,NaN
150,0.000156149148070543,16.5559919114498,NaN
