t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
0,0.00119041896937055,24.8827579915406,0.0044712376119432
9,NaN,7.62373797867129,NaN
10,NaN,NaN,2.294526408132
15,0.0175112655780771,NaN,NaN
20,NaN,18.6642890262417,1.65362772648789
30,0.00116058440249,14.9586601183456,0.0353486587526701
40,NaN,18.2258087746024,NaN
45,0.00497329503269886,NaN,0.0021895354849168
50,NaN,14.3071800780788,NaN
60,NaN,NaN,0.155377408463634
65,0.0101368126747974,17.4469491158923,NaN
75,NaN,NaN,0.0806334656091243
80,NaN,13.9911214478653,NaN
85,0.009411854148811,NaN,NaN
95,NaN,NaN,0.167951836238427
100,0.0069968914020168,13.9439112725233,0.168958085063149
150,0.00690902703584516,16.3430493834127,0.104172267714478
200,0.00773819324392219,NaN,NaN
