t,input_ruxolitinib,pJAK1_gp130_Obs
11,0,0.00104309780565162
11,0,0.000916266674439613
11,10,0.00109287288940169
11,50,0.000807508173682309
11,100,0.000586943088455989
11,200,0.000693315929145151
11,400,0.000569293400572312
11,500,0.000724324894721053
11,600,0.000856164192824
11,600,0.000534728589199335
11,600,0.000469388013258757
11,600,0.000670034893227149
11,800,0.000729556000306483
11,800,0.000502607575375717
11,800,0.000715651984755326
11,800,0.000594085756290768
11,1000,0.000523995771226346
11,2000,0.000507056922294258
11,5000,0.000629339007903992
