t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
0,0.00109642027228277,20.9972358930622,0.00484175973632698
10,NaN,NaN,0.75468530143954
15,0.00585526736288784,16.6237403217406,NaN
25,4.54176008187413e-05,NaN,0.330396385529092
35,NaN,19.8690913941792,NaN
40,5.02301263848347e-05,NaN,0.00163523900609856
50,NaN,13.8114262743949,NaN
55,0.000160147191298798,NaN,0.000783399161440134
70,NaN,17.3384136208888,0.00109929457526518
75,0.000305312887563439,NaN,NaN
90,NaN,NaN,0.000973636118536523
95,0.000384655038040418,19.756055987335,NaN
100,0.000450862009543861,18.0373282234334,0.00138480937542569
150,0.000513079476288592,18.4530585085434,0.00199132228071713
200,NaN,15.3414037720991,NaN
250,NaN,19.5754190539994,NaN
300,NaN,16.4044267150433,NaN
