t,PI4K3Ba_Obs,CERTERa_Obs,CERT_Obs,Compound_1_Obs
0,26387683.3225959,32799071.8068299,9126222.56812634,78552267.9859254
2,NaN,NaN,10020821.0733355,NaN
3,NaN,2863547.64087119,NaN,NaN
4,98908577.5129876,NaN,NaN,119542168.307307
4.5,NaN,NaN,8798123.94424525,NaN
6,NaN,607480.718850847,NaN,NaN
6.5,NaN,NaN,16827098.5528418,NaN
8,55884867.7932747,NaN,NaN,NaN
8.5,NaN,NaN,NaN,265856610.581071
9,NaN,1826459.42839569,7685179.83102018,NaN
10,5050173.06565455,425530.296559022,14057750.9423743,NaN
15,118014785.540273,1147806.6235253,7212167.40985439,190814777.418483
20,511622736.032936,6083744.8065594,18930493.4148703,207705609.887415
25,169021550.697636,10765754.2450018,33643645.9073411,89124696.9486646
30,NaN,5949064.13698622,25079314.2252545,147338804.891087
35,216103682.484516,8327373.79058347,5579538.80880176,NaN
40,194712474.401221,7800753.0735098,27165414.1123872,321308281.619545
45,NaN,NaN,NaN,103046705.959053
50,-23956643.1727802,8340250.59679935,NaN,NaN
60,324350702.600401,1984964.31541095,NaN,79147821.2303223
70,237686025.305002,9545226.93225377,NaN,69049495.8504414
