t,PI4K3Ba_Obs,CERTERa_Obs,CERT_Obs,Compound_1_Obs
0,4480607.64791685,195231278.370936,20487059.8941008,-43796843.4135322
3,7293178.65468001,NaN,NaN,143891227.313559
3.5,NaN,77613054.3994614,NaN,NaN
4,NaN,NaN,11514269.8811936,NaN
6.5,17378956.4167106,NaN,NaN,-71067074.3576014
7,NaN,106677675.835953,NaN,NaN
8,NaN,NaN,39210236.1241544,NaN
10,16088849.074674,93157768.8422057,9500749.51524278,-25941685.1039741
15,12508810.6828263,60174085.9162158,11583430.6825638,106482719.970554
20,14443511.9432233,217357188.121756,42238512.8429673,146131298.986872
25,13290713.1688608,103401931.382075,NaN,68237403.6710562
30,8305354.42875521,174019545.191729,51345430.9582517,254656448.218803
35,NaN,147902917.357016,-16476639.9538026,NaN
40,13490421.9283656,NaN,NaN,217026820.331544
45,4912895.51418423,115678634.198081,25436717.3827777,230507155.184859
55,9462556.67180774,331167170.426495,74505961.5214865,127111418.87769
65,12436694.5271615,188922662.692608,41624898.2743771,67744250.2155991
