t,ppS2_S4_S4_Obs,geneJ_Obs
0,0.250711037030714,0.952518697935108
60,6.85542689914065,NaN
65,NaN,0.682748986359141
100,5.35702859774104,NaN
150,NaN,0.563516576704772
200,3.10277381967813,0.485774872602441
250,2.44982822205004,NaN
300,NaN,0.504120660596163
350,1.419356680013,0.743322773939196
400,0.981678412154467,NaN
450,NaN,0.729892575417712
550,0.474529125564237,NaN
600,NaN,0.715638672389896
650,0.403058705109517,NaN
700,NaN,0.936618980201377
800,0.0169186636994415,NaN
850,NaN,0.779077769653451
950,-0.31889462810071,NaN
1000,-0.0886430446269635,0.831790884642238
