t,geneJ_Obs,Compound_1_Obs
0,1.30247522606509,1.36338505607133
70,0.645707558119861,NaN
80,NaN,1.9549287671754
150,0.635541489649928,2.23484991075242
200,0.533583753799276,NaN
250,NaN,2.21903357196754
300,0.834836674082361,NaN
350,NaN,2.10949223072781
400,0.519878685255581,NaN
450,NaN,1.84393136057681
500,0.926493577582194,NaN
550,NaN,1.98975632120133
600,0.931562534337344,NaN
650,NaN,1.42339644780764
750,1.23829971013819,NaN
800,NaN,1.2038064820578
900,1.19978331780692,NaN
1000,1.13655848690728,1.23057658606028
1500,NaN,1.32502545496066
