t,ppS2_S4_S4_Obs,geneJ_Obs
0,-1.20845217596184,1.1488641825406
45,21.7840985682634,NaN
50,NaN,0.929685417370424
90,21.5333367210791,NaN
100,NaN,0.617709753234789
150,18.6378463812014,0.50437339970085
200,16.8805473288971,0.800931238989397
250,10.5532803526696,NaN
300,9.43335668473296,0.896695799428612
350,7.56333111180847,0.554726620279584
400,4.84396740041404,NaN
450,NaN,0.818330176207829
500,5.07746704982224,NaN
550,NaN,0.989629985677636
600,-0.0161965785310767,NaN
650,NaN,0.774383721594898
700,0.335091482826897,NaN
750,NaN,0.934736293528303
800,-0.131798756191466,NaN
900,-3.3381003293373,1.03710670815771
1000,-0.677077973498666,NaN
