t,geneJ_Obs,Compound_1_Obs
0,0.963377164080305,1.40114832584564
70,0.913276446636737,NaN
85,NaN,1.40536246037537
150,0.351314451943619,2.33057678985268
200,0.47919221435932,NaN
250,NaN,2.40305654954489
300,0.563728986374512,NaN
350,NaN,2.21419240785229
400,0.829765861566949,NaN
500,0.897851383092686,1.68783665520024
600,1.00914009808132,0.863992305885921
700,0.821758095530157,NaN
750,NaN,1.20856143810475
850,1.20467272823109,NaN
950,NaN,0.645430084277345
1000,1.00487582117378,1.24396150957516
1500,0.837784234355783,1.4140340327757
