t,PKD_Obs,Compound_1_Obs
0,296951.644954042,22985383.99622
3,NaN,48005984.456042
3.5,398105.641791262,NaN
6,NaN,43672452.7987251
7,278058.537978874,NaN
9.5,NaN,45562295.2122022
10,300567.147365905,NaN
15,324788.39550767,46045888.8313778
20,254723.107178888,71857032.839496
25,432066.609311314,67306352.1901158
30,311979.482282145,121654205.738326
35,271460.398733342,NaN
40,NaN,166815350.303218
45,419646.328097687,94071131.0821604
55,284190.707877851,92694070.3453802
65,382750.342168898,192535142.550106
