t,input_il6,nSTAT3_Obs
79,0,15.0609789414511
79,0,16.8036260072397
79,0,16.1837973056846
79,0,14.4805210464942
79,0,14.5476899771299
79,0,14.1756952359293
79,0.0005,15.2707919334048
79,0.0005,12.0774908114089
79,0.0005,17.3850432645086
79,0.0005,17.1181950093272
79,0.005,14.4236121337161
79,0.005,14.4401052474326
79,0.005,11.4269820798251
79,0.005,15.5162063526927
79,0.05,15.3240884425991
79,0.05,14.5547364830433
79,0.05,10.8876003098892
79,0.05,10.2753000778538
79,0.05,12.2012447351031
79,0.05,24.3274255089651
79,0.05,21.7242459333312
79,0.05,15.9057037816645
79,0.1,13.6736011955056
79,0.1,17.1715469395651
79,0.1,17.0460095272441
79,0.1,19.7500495153197
79,0.5,13.8981163567765
79,0.5,14.3444832635229
79,0.5,22.5928312457394
79,0.5,16.5530769781671
79,0.5,12.3563623337521
79,0.5,20.7475758161299
79,1,15.9960873051288
79,1,21.024127527324
79,1,14.2605912461862
79,1,21.416498316381
79,1,17.57423272175
79,1,17.3454860534625
79,1,15.1741717810172
79,1,18.7608500699048
79,2.5,16.064657456065
79,2.5,22.1126386729234
79,5,21.0705346248836
79,5,22.0010060508961
79,10,26.0100691889602
79,10,20.9850686310866
79,25,14.5317672963334
79,25,18.5638638483982
79,25,14.1904722228083
79,25,19.1212918218055
79,25,15.9081721976811
79,25,19.3349139417001
79,25,15.6916234655373
79,25,12.5639529495907
79,50,24.4304912465507
79,50,20.2649096733282
79,50,22.8649157596614
79,50,17.1285548770207
79,100,15.5612763089028
79,100,19.2136172549142
79,200,17.8350355483171
79,200,14.8397785478902
79,500,15.7403782564857
79,500,11.901544797041
79,500,16.4488933965802
79,500,15.8524947267741
79,500,18.373176326759
79,500,13.0661819806007
