t,input_il6,nSTAT3_Obs
35,0.1,8.34912025229528
35,0.1,15.4438079291472
35,0.1,22.4837621938927
35,0.1,26.2697392440477
35,1,14.540166673634
35,1,15.2993185046021
35,1,20.7594950082579
35,1,30.3664941057955
35,5,22.0378015934231
35,5,22.105755444909
35,5,28.6035504804208
35,5,31.33356783639
35,10,19.1443971879861
35,10,36.6689865929181
35,10,41.8793584342563
35,10,45.1084903713603
35,50,23.9393436155516
35,50,28.3137369208508
35,50,29.0737037692696
35,50,39.0953156159605
35,100,18.3302130078868
35,100,33.1861738324765
35,100,33.9441758692471
35,100,35.1245355808263
35,500,27.7834466093591
35,500,38.8126097688466
35,500,45.2555237222457
35,500,46.983508112658
