t,input_il6,nSTAT3_Obs
1200,0.1,12.1630312232078
1200,0.1,12.7943967392667
1200,0.5,21.0753622095085
1200,0.5,22.1960086362639
1200,1,12.6973850551172
1200,1,20.3004130762357
1200,2.5,10.739229390426
1200,2.5,25.2430024648614
1200,5,14.1097852241792
1200,5,15.7252234787451
1200,10,27.9240420839668
1200,10,29.7852804785027
1200,25,19.2667016441903
1200,25,25.5559435841443
1200,50,20.3540446274246
1200,50,28.9327902381629
1200,100,15.6826628196948
1200,100,22.8204019859517
1200,500,22.97247625087
1200,500,35.1933692103776
