t,input_il6,nSTAT3_Obs
260,0.1,15.564412684912
260,0.1,17.3922697754231
260,0.5,12.0551778808074
260,0.5,13.8960954521189
260,1,11.9832019701224
260,1,17.4878322004501
260,2.5,15.6769500872966
260,2.5,19.9037136090413
260,5,17.018979356846
260,5,20.0476895947263
260,10,17.6636710422251
260,10,19.1255821370213
260,25,20.5312426652248
260,25,25.4792226945319
260,50,20.4842358364053
260,50,25.1894594052246
260,100,30.3525345719246
260,100,31.0765236866843
260,500,27.378380071441
260,500,42.9134565159443
