t,input_ruxolitinib,SOCS3RNA_Obs
14,0,0.000190144721651367
14,10,0.000163308153419156
14,50,0.000158319413849962
14,100,0.000169135020939347
14,200,0.00022728145456165
14,400,0.000169874310097494
14,400,0.000149914471505458
14,500,0.000226427030748215
14,500,0.000133502878187356
14,600,0.00022189727653526
14,800,0.000139868234925161
14,800,0.0001608515840298
14,800,0.000143676133119676
14,800,0.000135883388560191
14,1000,0.00012667656541168
14,2000,0.000176291001742447
14,5000,0.00016307643063918
