t,input_ruxolitinib,SOCS3RNA_Obs
11,0,0.000261454002591609
11,10,0.000287622699065097
11,50,0.000222211663595487
11,100,0.000105011402360433
11,200,0.000117245353068581
11,400,9.36598230893571e-05
11,400,0.000153569211825616
11,400,0.000157729849540482
11,400,0.000172006954260167
11,500,0.000140663251248781
11,600,0.000117871668211732
11,600,0.000144096145018531
11,800,0.000116981022388973
11,800,0.000156537277472855
11,1000,0.000174558718432793
11,2000,9.88902779211943e-05
11,5000,0.000198719139783408
