t,input_il6,nSTAT3_Obs
570,0.1,12.9687323034689
570,0.1,13.3000447380179
570,0.5,16.1004664215206
570,0.5,16.8459522382059
570,1,15.884410781588
570,1,17.211378661177
570,2.5,13.2314105122668
570,2.5,26.5897797205742
570,5,22.566810857809
570,5,23.9993702959065
570,10,14.2383103942964
570,10,14.2454854234495
570,25,10.284781682666
570,25,24.9039599855445
570,50,15.4022477597783
570,50,18.7347504492324
570,100,16.5757903268227
570,100,18.0512657863543
570,500,24.7063649657199
570,500,25.3276621041725
