t,input_il6,nSTAT3_Obs
1200,0.1,11.7946618995042
1200,0.1,14.8912688941105
1200,0.5,17.7659333107602
1200,0.5,18.6420908308226
1200,1,13.1400423025166
1200,1,17.423186261044
1200,2.5,14.0875907205802
1200,2.5,17.0021098252321
1200,5,21.3476405887928
1200,5,25.976882682722
1200,10,16.5859214742703
1200,10,20.4210993890436
1200,25,20.3792680186795
1200,25,22.2426080794669
1200,50,20.7955594959167
1200,50,25.7284618944623
1200,100,21.5332298829559
1200,100,25.3880194900807
1200,500,14.1495798109596
1200,500,21.7649699686575
