t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs
0,0.932701312888582,1483.12802325536,2687.64771299236,410.861564052915,27.6337327236671,829.822002810748
20,7779.25712831325,NaN,NaN,4153.64551829698,4375.44946125048,NaN
30,NaN,2416.12900436222,NaN,NaN,NaN,171.849968940891
35,NaN,NaN,4521.98633206424,NaN,NaN,NaN
45,3075.88585109993,NaN,NaN,1413.26885550311,2511.96354888833,NaN
55,NaN,1035.56921743237,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,15.6162606761675
70,-913.019602201467,NaN,1175.44572128417,150.741441624712,1321.38867662535,NaN
90,NaN,942.362571418786,NaN,NaN,NaN,NaN
95,461.271243201879,NaN,NaN,91.3366364134819,1071.53876686693,37.8500096602694
100,NaN,510.560198474912,286.8048522853,NaN,NaN,NaN
150,2969.96353923387,836.960884117647,215.984957880931,-262.733255718136,600.595749634411,55.7064336868672
200,3449.63776976791,14.4183847546497,397.305033139889,877.248696580167,313.899578745852,12.1520748579195
250,1164.54690140944,37.5276616935631,1249.18673526645,921.667549519896,-317.22057452975,74.2207348993948
300,-39.6864471688998,NaN,NaN,1621.40531465879,-676.065209261532,22.0783600050561
350,1003.63276601867,585.057131472881,878.101170704475,NaN,NaN,-36.5225347111792
400,NaN,-164.072257172312,364.699594397598,-553.346555957114,210.230998835431,NaN
450,NaN,NaN,NaN,NaN,NaN,135.841806134386
500,NaN,NaN,-158.137062054172,NaN,NaN,84.5994171401143
600,NaN,NaN,NaN,NaN,NaN,120.422653240572
700,NaN,NaN,NaN,NaN,NaN,15.0584694853729
