t,ppS2_ppS2_S4_Obs,geneC_Obs,geneI_Obs,geneK_Obs
0,0.112050649635826,0.434074031990813,0.841772356453519,1.11189981411624
10,-0.0651879561370597,0.600556800012087,NaN,NaN
15,NaN,NaN,1.00333465489521,1.12717240349289
25,0.526174181433545,1.09903780518632,1.0584758224627,NaN
30,NaN,NaN,NaN,0.905370285036631
35,NaN,0.563951391928996,NaN,NaN
40,0.0925896777074735,NaN,1.42938961263975,NaN
45,NaN,NaN,NaN,0.821041752475186
50,NaN,0.792459785452045,NaN,NaN
55,0.209294798813943,NaN,1.47569621159523,NaN
65,NaN,0.792231719107851,NaN,0.936574533185695
70,0.147380204502789,NaN,NaN,NaN
75,NaN,NaN,1.19796109529362,NaN
85,NaN,1.13825197144521,NaN,1.36334920094394
95,0.219719525841259,NaN,1.28555051297537,NaN
100,NaN,NaN,NaN,0.93047660084349
