t,TGFb_Obs,geneC_Obs,geneI_Obs,geneK_Obs
0,1.04075220864409,0.767287942825024,0.785742990819611,0.952758317723676
65,NaN,NaN,1.04013335339366,0.640172911302168
75,NaN,1.62968836964302,NaN,NaN
80,0.733640950404777,NaN,NaN,NaN
150,0.327671608608351,1.60238865753884,0.955433982773012,0.407858854646292
200,NaN,NaN,1.27451186379704,0.44658689575076
250,0.526173492174877,1.71716049565775,1.01172166352924,NaN
300,NaN,NaN,NaN,0.213143915712634
350,0.253038515462935,1.50143340609566,0.801983213515053,0.214162420966961
400,NaN,1.14240865436704,NaN,NaN
450,0.283343999814081,NaN,0.988382689603978,0.0176648759497658
550,NaN,1.31058102171441,0.85436355454273,NaN
600,0.203733131036441,NaN,NaN,0.254878142952609
650,NaN,1.21222557967005,0.823144523236038,NaN
750,0.0754422031424617,NaN,0.878264660338435,0.353012944941483
800,NaN,1.85391813455611,NaN,NaN
900,NaN,NaN,0.70640941364271,NaN
950,0.112772585190843,NaN,NaN,0.08912170600394
1000,0.138043361823946,1.07422884213165,0.890374782977396,0.221551619642292
1500,0.109124510261331,1.29444478539643,0.75490639065932,0.268275681712389
