t,ppS2_ppS2_S4_Obs,geneC_Obs,geneI_Obs,geneK_Obs
0,-0.0145299298419199,0.760433985128216,1.01172550258556,1.55091124475864
10,0.0831285348324999,0.811455327482594,NaN,1.02983406256704
15,NaN,NaN,1.02965863233118,NaN
20,NaN,0.931267293020249,NaN,1.24967929223459
25,-0.207260621950089,NaN,0.535660775350739,NaN
30,NaN,0.95956636339042,NaN,0.548299903178582
35,-0.241350733274974,NaN,NaN,NaN
40,NaN,NaN,0.916027186276181,NaN
45,NaN,0.854929030750272,NaN,0.978822620598396
50,-0.0950278079646218,NaN,NaN,NaN
55,NaN,NaN,0.572292564579336,NaN
60,NaN,1.21802690123472,NaN,0.987564025423262
70,-0.238758118526763,NaN,NaN,NaN
75,NaN,1.09164288688209,1.16269509177139,0.696087540231894
90,0.291132809674199,1.15167362385599,NaN,NaN
95,NaN,NaN,0.740692979198731,NaN
