t,ppS2_ppS2_S4_Obs,geneC_Obs,geneI_Obs,geneK_Obs
0,0.120146176646084,1.328532299476,1.17814363833976,1.05089453725566
10,0.434976783870126,NaN,0.906363191383087,0.912903904374558
15,NaN,0.89731800037905,NaN,NaN
25,0.13096682918776,NaN,0.9933124211297,0.950065126275851
30,NaN,1.02411845950556,NaN,NaN
35,NaN,NaN,0.81412738176219,NaN
40,-0.0263082536522026,NaN,NaN,1.27640454287468
45,NaN,0.752677961134952,NaN,NaN
50,NaN,NaN,0.920443392103567,NaN
55,-0.39040424475785,NaN,NaN,1.18818604369272
60,NaN,1.19340756622385,NaN,NaN
70,0.177677309925847,NaN,0.914313225306303,NaN
75,NaN,NaN,NaN,1.08566345342841
80,NaN,0.968965508178188,NaN,NaN
90,NaN,NaN,1.28832265398991,NaN
95,-0.231150126957043,NaN,NaN,1.14110871918426
100,NaN,0.702358246646372,NaN,NaN
