t,TGFb_Obs,geneC_Obs,geneI_Obs,geneK_Obs
0,0.940343120099705,0.966463761081991,0.815531803643705,0.985333002873246
60,NaN,NaN,NaN,0.736124442897208
70,NaN,NaN,1.04618506126389,NaN
75,0.614148752338255,1.61518920807944,NaN,NaN
100,NaN,NaN,NaN,0.508538508431718
150,0.438888668302968,1.89916764476609,1.03038102971322,NaN
200,NaN,NaN,0.909560949801756,0.338630292200402
250,0.327623466870979,1.36647959653298,NaN,0.177611099071046
300,0.311222415194669,1.56865347305145,0.845957915030356,NaN
350,NaN,NaN,NaN,0.248246533829095
400,0.321872928117743,1.48981073609011,0.818344259123746,NaN
450,NaN,NaN,NaN,0.173740298644393
500,0.272349705236842,1.42022263289891,0.830138197265574,NaN
550,NaN,NaN,NaN,0.141598167512832
650,0.128280132491093,1.57137141974278,0.416353463108081,0.0996934015912308
800,0.201955441236662,1.38394398971654,0.688390507176871,0.132315226850043
950,0.119606322262624,0.975718611520084,0.395939307824836,NaN
1000,0.196765602742865,1.42075788771742,0.385182458029817,0.19354485434205
1500,0.0461392775143596,1.00407698192137,0.270957648880097,0.384603006316605
