t,TGFb_Obs,geneC_Obs,geneI_Obs,geneK_Obs
0,0.837400175472636,0.787814356489715,1.1337007665692,0.946948353972712
45,NaN,NaN,0.463513908211647,NaN
65,NaN,1.37225753224301,NaN,0.695552367590002
70,0.69555107719349,NaN,NaN,NaN
95,NaN,NaN,0.972212447824255,NaN
150,0.476975057758242,0.854061987801383,0.626759996690536,0.580556918100277
200,0.446408179389319,1.23527173930058,0.74019911437846,0.390132302694514
250,NaN,NaN,0.853273259310992,NaN
300,0.130593187505794,1.24696021104348,0.755586912786377,0.307648061254957
350,NaN,2.05072619507577,NaN,0.211535125190157
400,0.226993914659156,NaN,0.774613562249309,NaN
450,NaN,1.87750236903342,NaN,0.281748448661667
500,0.309479212889744,NaN,0.349830101102853,NaN
550,NaN,1.90911767090913,NaN,0.0979157136026673
600,0.202306761235295,NaN,0.601805234219151,NaN
700,NaN,1.40600384864615,0.368739639734546,0.0827400200473519
750,0.100151110458211,NaN,NaN,NaN
850,NaN,1.50030460934773,0.415876242064994,0.136106818551782
950,0.246738377467648,NaN,NaN,NaN
1000,0.189815012780635,0.881741545543536,NaN,0.344068010684481
1500,0.177480010222655,0.74480965909186,NaN,0.323228623627349
