t,ppS2_ppS2_S4_Obs,geneC_Obs,geneI_Obs,geneK_Obs
0,0.303772024385677,1.01484828381872,1.2746361897796,1.44629931324529
10,NaN,0.910689559581827,1.46779414750201,NaN
15,0.137612072139939,NaN,NaN,1.08249094982388
25,0.196408496737921,1.06042793476097,0.682850807478813,0.421892408976846
35,NaN,0.826639287088599,NaN,NaN
40,-0.00481777128807342,NaN,0.904043280460095,0.982642844992534
50,NaN,1.03871011244056,NaN,NaN
55,NaN,NaN,1.3423502776457,0.614505268730352
60,0.10959728257205,NaN,NaN,NaN
70,NaN,1.31036172608589,NaN,NaN
75,NaN,NaN,1.40996821580834,0.896434687301943
80,0.27656160613904,NaN,NaN,NaN
90,NaN,1.15515634631396,NaN,NaN
95,NaN,NaN,0.890099118765762,1.26580022814531
100,-0.261063445521384,NaN,NaN,NaN
