t,TGFb_Obs,geneC_Obs,geneI_Obs,geneK_Obs
0,0.94901330165966,0.860495284927533,0.781254468488044,1.12901779284601
65,NaN,NaN,NaN,0.955910387334397
75,0.768645931940331,1.3722163779527,NaN,NaN
80,NaN,NaN,1.18025003491777,NaN
150,0.465430386673547,1.23992651920777,1.28424625034993,0.462750377908037
200,NaN,NaN,NaN,0.298875921819846
250,0.220616946855542,2.34555640101097,0.85845841905399,NaN
300,NaN,1.15563671078661,NaN,0.358557002837402
350,0.420533026417009,NaN,0.84135730689787,0.409573978359813
400,0.234226894502687,1.5421270320112,NaN,NaN
450,NaN,NaN,0.328024608754392,0.237444254417593
550,0.112191096804865,1.05632442544712,NaN,0.165123290278301
600,NaN,NaN,0.902688066928599,NaN
650,0.258189088192686,1.57908488448312,NaN,NaN
700,NaN,NaN,NaN,0.164899906538924
750,NaN,NaN,0.683645776163626,NaN
800,0.133649845307083,1.5106350779484,NaN,NaN
850,NaN,NaN,NaN,0.142517403077019
950,NaN,NaN,0.783062115211136,NaN
1000,0.168515412484674,1.47729622034681,0.844168427518679,0.406918987902074
1500,0.042856827523803,1.00321396436308,0.7426453072916,0.632507011968841
