t,RAF_Obs,pMEK_Obs,ERK_Obs,pRAF_Obs
0,0.990875567437649,0.00319880941992496,0.960762982641224,1.34275823939466e-05
0.2,NaN,NaN,0.933003593785655,NaN
0.3,0.905731666426228,NaN,NaN,NaN
0.4,NaN,NaN,0.505232885947736,NaN
0.6,1.29787562305295,NaN,NaN,NaN
0.65,NaN,NaN,0.76022748554405,NaN
0.9,NaN,NaN,1.44098498227851,NaN
0.95,1.1167882242906,NaN,NaN,NaN
1,NaN,NaN,1.18607643292779,NaN
1.5,0.65956607469702,NaN,0.809820416518819,NaN
2,0.471128567708972,NaN,0.952929823455886,NaN
2.5,1.00351103359559,NaN,NaN,7.99233893668215e-05
3,0.805837252398478,NaN,NaN,NaN
3.5,0.518911241076333,0.00630213344487851,NaN,NaN
5.5,NaN,NaN,NaN,6.86387698516789e-05
8,NaN,0.00903574575134232,NaN,NaN
8.5,NaN,NaN,NaN,0.000104207675139601
10,NaN,0.00763339894410446,NaN,8.15838264332042e-05
15,NaN,NaN,NaN,9.73565786280061e-05
20,NaN,0.0094186741457672,NaN,NaN
