t,RAF_Obs,pMEK_Obs,ERK_Obs,pRAF_Obs
0,1.10678728032293,0.00143863006017981,0.597944008186654,5.52723919067292e-06
0.25,1.28753674468003,NaN,NaN,NaN
0.55,0.574235899668826,NaN,NaN,NaN
0.8,0.794959198972724,NaN,NaN,NaN
1,1.06008856686512,NaN,NaN,NaN
1.5,1.16889466347347,NaN,NaN,NaN
2,0.878655011464191,NaN,0.999943241254304,NaN
2.5,0.654300146792364,NaN,NaN,2.86436422830207e-05
3,0.993093422979775,NaN,NaN,NaN
3.5,0.486864513255403,NaN,NaN,NaN
4,NaN,NaN,0.577726605656778,NaN
4.5,1.08919076250412,0.000598943788330445,NaN,NaN
5.5,NaN,NaN,NaN,1.62874776642486e-05
6.5,NaN,NaN,1.41372745175416,NaN
8.5,NaN,NaN,NaN,2.89594619162052e-05
9,NaN,NaN,0.726652615132649,NaN
9.5,NaN,0.000785012165890726,NaN,NaN
10,NaN,NaN,1.10424752202192,3.29971889053457e-05
15,NaN,0.000243831266407386,0.595130852281049,3.33319081822542e-05
20,NaN,NaN,0.669509011531496,NaN
25,NaN,0.000420886758606207,1.51598956557739,NaN
