t,RAF_Obs,pMEK_Obs,ERK_Obs,pRAF_Obs
0,1.21002119600609,0.00150266093622309,0.506950867836698,1.58529487016857e-05
0.25,0.973222688863674,NaN,NaN,NaN
0.5,0.253837303915014,NaN,NaN,NaN
0.75,1.69083682204129,NaN,NaN,NaN
1,1.37812039096957,NaN,NaN,NaN
1.5,1.52483636362888,NaN,NaN,NaN
2,0.647224559768858,0.00331985152247404,NaN,3.3999626610526e-05
2.5,0.487675168273077,NaN,NaN,NaN
3,1.31887763467049,NaN,0.65424573401733,NaN
3.5,1.14615076227037,NaN,NaN,NaN
4,NaN,0.000818624795457559,NaN,1.89053040784652e-05
4.5,0.946760939034434,NaN,NaN,NaN
6,NaN,0.000831418299828343,NaN,NaN
6.5,NaN,NaN,1.23595277791792,8.05145277528182e-06
8,NaN,0.00165271491209134,NaN,NaN
9,NaN,NaN,NaN,1.7770786166295e-05
10,NaN,0.000221705721926581,0.875449960015346,8.29658060567611e-06
15,NaN,0.000418406640875924,0.559633076678445,1.44873983934644e-05
20,NaN,0.00149031378230843,NaN,1.08540957987608e-05
25,NaN,0.00221529308965879,NaN,2.47714622014935e-05
