t,input_il6,JAK1_gp130_Obs
1500,0.1,0.276160865792261
1500,0.1,0.286264450344418
1500,0.5,0.262375266093888
1500,0.5,0.266633726788366
1500,1,0.259613623689944
1500,1,0.275266921120396
1500,2.5,0.184020638370412
1500,2.5,0.198463270885705
1500,5,0.0786633718785093
1500,5,0.0308360887817123
1500,10,0.264128129688797
1500,10,0.255411100982294
1500,25,0.116256665457699
1500,25,0.141557707085377
1500,50,0.242873507713616
1500,50,0.248282406194572
1500,100,0.0807591980707033
1500,100,0.091683119399036
1500,500,-0.0100315268902478
1500,500,0.0388771285470039
